poly,obj,n,halfdeg,nhbd,G dim,nu,interp t,build t,solve t,affine %t,comb %t,dir %t,# iters,# corr steps,aff / iter,comb / iter
r_p_h_1_1,0.626269,1,1,h,8,5,0.007029,7.4E-05,2.232953,0.192,0.41951,0.378711,14,1,1.857143,4.214286
c_w_i_1_2,-2.067971,1,2,i,9,7,0.003735,0.000259,2.214804,0.272303,0.23744,0.468253,11,0,2.181818,2.272727
c_w_h_1_2,-2.067969,1,2,h,9,7,0.003735,0.00016,3.23881,0.354904,0.308901,0.324924,12,0,2.416667,2.333333
c_p_i_1_2,-2.067965,1,2,i,17,7,0.003735,0.000142,2.345298,0.252682,0.22056,0.526758,11,0,2.181818,2.272727
c_p_h_1_2,-2.067962,1,2,h,17,7,0.003735,9.2E-05,3.285142,0.27414,0.285766,0.440093,13,0,2.307692,2.384615
r_w_i_1_2,-2.067963,1,2,i,15,12,0.012369,0.000277,4.914764,0.295389,0.247029,0.446434,21,0,2,2.285714
r_w_h_1_2,-2.067963,1,2,h,15,12,0.012369,0.000241,5.106101,0.358579,0.326681,0.306522,15,0,2.4,2.4
r_p_i_1_2,-2.067963,1,2,i,33,12,0.012369,0.00017,5.501034,0.223329,0.189738,0.586933,21,0,2,2.285714
r_p_h_1_2,-2.067963,1,2,h,33,12,0.012369,0.000107,2.604567,0.264145,0.277357,0.458498,14,0,2.214286,2.428571
c_w_i_1_3,-6.180746,1,3,i,16,10,0.008928,0.000285,2.988605,0.271896,0.268792,0.439352,12,0,2.083333,2.166667
c_w_h_1_3,-6.180725,1,3,h,16,10,0.008928,0.000197,5.014512,0.370658,0.305635,0.314721,15,0,2.4,2.333333
c_p_i_1_3,-6.180736,1,3,i,34,10,0.008928,0.000177,3.478508,0.233753,0.230457,0.53579,13,0,2.153846,2.230769
c_p_h_1_3,-6.180755,1,3,h,34,10,0.008928,0.000156,4.097258,0.268444,0.272779,0.458776,14,0,2.285714,2.357143
r_w_i_1_3,-6.18007,1,3,i,28,22,0.005829,0.000329,118.872003,0.448962,0.217487,0.284521,173,34,2.50289,8.063584
r_w_h_1_3,-6.180569,1,3,h,28,22,0.005829,0.000303,61.389625,0.514246,0.345247,0.136851,50,2,2.54,3.68
r_p_i_1_3,-6.179806,1,3,i,97,22,0.005829,0.000327,140.376134,0.260385,0.2448,0.434708,170,34,2.517647,8.123529
r_p_h_1_3,-6.18058,1,3,h,97,22,0.005829,0.000322,83.114379,0.341067,0.27826,0.380674,67,0,2.462687,2.492537
