instname,numtype,solver,systemsolver,status,rawstatus,primalobj,dualobj,niters,buildtime,moitime,gctime,bytes,solvertime,directionstime,directionsbytes,absgap,relgap,xfeas,yfeas,zfeas,notes
beck751,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,7.500952170841269,7.5009521622103135,32,2.498332154,13.719937624,0.533479593,1727887832,9.584698915481567,6.558643555,899522634,5.8912159900579604e-8,7.853957554532636e-9,2.9175415885577196e-6,0.0,3.8909430224983797e-10,normalF64
beck752,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,6.815509062720042,6.815508729335723,12,2.522796157,13.607652253,0.48601194,1611339591,9.450212955474854,6.389509031,782979177,5.409963535662566e-7,7.937725194858418e-8,3.1210912149032786e-8,0.0,1.2847243454524802e-8,normalF64
beck753,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,6.298339492647023,6.298335932141689,14,2.483678049,13.513004934,0.497906396,1648782599,9.397496938705444,6.389079023,820421705,5.626512279035059e-6,8.933331501614296e-7,3.5530671668376525e-7,0.0,1.3785714989851492e-7,normalF64
fiac81b,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,17.292843851672917,17.29284359038723,15,2.49043538,13.498729796,0.464808156,1624716695,9.370471954345703,6.354260622,796289721,3.621433237468129e-7,2.0941802998098107e-8,1.3963916979091362e-8,0.0,2.4594452309694493e-9,normalF64
batch,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-259180.3481820343,-259180.34819724533,49,2.430386592,13.603362097,0.471267428,1672434031,9.544435024261475,6.554749427,845843096,4.132264124520439e-14,1.5943585820695177e-19,0.001786391409507746,0.0,1.3459049266184483e-11,normalF64
syn05m02m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-3618.427013015446,-3618.4269633600584,19,2.498007195,13.882960771,0.470619831,1606286111,9.781884908676147,6.691449853,779603400,1.1325045801147127e-7,3.1298256840364746e-11,1.6696829138394434e-6,0.0,1.4108034062026501e-8,normalF64
syn15m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-1682.9380495029789,-1682.9380330853828,14,2.487544846,13.883566242,0.476509006,1604686895,9.77973222732544,6.692389481,777972520,3.000977459812576e-7,1.7831776164897177e-10,7.577032827787815e-7,0.0,2.4625712457402347e-8,normalF64
fang88,Float64,hypatia,qrchol_dense,OPTIMAL,Optimal,-10.380040768830014,-10.380041034495576,16,2.483575393,13.455275799,0.469958444,1639152935,9.349068880081177,6.339528835,810393545,6.386169523304671e-8,6.1523549526718175e-9,4.966386641412498e-9,0.0,2.843041794726908e-9,normalF64
syn10h,Float64,hypatia,qrchol_dense,OPTIMAL,Optimal,-1267.709279020892,-1267.7092789896008,13,2.431407781,11.925389806,0.389706961,1387229580,7.7909369468688965,4.814426014,560694405,3.3329637058122806e-10,2.6291230654921735e-13,4.499872309600133e-10,0.0,3.943614732305555e-11,normalF64
demb761,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,183.49477750237946,183.46744478241402,10,2.543161856,12.720373117,0.430104114,1712185121,8.627308130264282,5.554876959,883275923,0.02005330261635295,0.00010930169458748099,0.0018668640759746345,0.0,0.0009706052073192446,normalF64
demb762,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-10.358419911546818,-10.358435967800204,13,2.488216232,12.552508286,0.453874785,1682208833,8.44743299484253,5.433573251,853298995,4.79354575569379e-6,4.6276804731098917e-7,4.2617929169462577e-7,0.0,2.1748425162311622e-7,normalF64
demb763,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-10.351925217338206,-10.42893078759353,10,2.495076488,12.686195227,0.479695693,1750756769,8.558505058288574,5.53758572,921847555,0.021541814602927704,0.0020809476643868915,0.002007764320603384,0.0,0.0010230690125691,normalF64
syn20m,Float64,hypatia,qrchol_dense,OTHER_ERROR,SolveCalled,-2970.6753821044285,-2970.6753817169156,21,2.436308289,0.0,0.0,0.0,NaN,6.788255567,807374664,9.644837739575252e-8,3.246681814403714e-11,2.6800599181550994e-6,0.0,9.817651626071982e-9,normalF64
syn05m02h,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-3033.347114000474,-3033.3467151787877,19,2.521335904,13.424565428,0.469392968,1602102318,9.341681957244873,6.267146982,775123271,8.81632187477166e-7,2.9064665346342166e-10,7.988594743846191e-7,0.0,9.409627984249709e-8,normalF64
